"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk000008DwROIA0","500Qk00000DjoqnIAB","The customer is from APAC","0054u000007MeUDAA0","2024-07-30T05:13:34.000Z","2024-07-30T05:13:34.000Z","false","false"
"00aQk000008IaejIAC","500Qk00000DjoqnIAB","Communication ports are blocked between proxy server and netapp server","005Qk00000214EvIAI","2024-08-02T07:47:17.000Z","2024-08-02T07:47:17.000Z","false","false"
"00aQk0000090aBBIAY","500Qk00000DjoqnIAB","Previously communication ports were blocked. Then, the credentials used for connection were not authorized to login to NetApp SVM. Finally, remote registry service was not enabled.","005Qk00000214EvIAI","2024-09-10T02:10:41.000Z","2024-09-10T02:10:41.000Z","false","false"
